Player,Season,Split,Tm,Team_MP,Team_eFG%,Team_ORB%,Team_DRB%,Team_TRB%,Team_AST%,Team_STL%,Team_BLK%,Team_TOV%,Team_ORtg,Opp_eFG%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Opp_ORtg,Diff_eFG%,Diff_ORB%,Diff_DRB%,Diff_TRB%,Diff_AST%,Diff_STL%,Diff_BLK%,Diff_TOV%,Diff_ORtg
Nikola Jokic,2024,On Court,DEN,2572,0.601,28,75.1,53.1,71.1,8,8,12.9,127.1,0.549,24.9,72,46.9,67.9,8.2,8.1,12.8,116.6,0.052,3.1,3.1,6.2,3.2,-0.2,-0.2,0.1,10.5
Nikola Jokic,2024,Off Court,DEN,1401,0.519,24.6,73.8,49.7,61.8,7.9,11,16.6,107,0.527,26.2,75.4,50.3,65.1,9.7,10.3,13,115.5,-0.009,-1.6,-1.6,-0.5,-3.3,-1.9,0.7,3.7,-8.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikola Jokic,2023,On Court,DEN,2726,0.584,25.7,78.2,52.8,68.9,7.6,8.4,12.5,123.9,0.531,21.8,74.3,47.2,64.7,7.4,7.5,12.9,112.3,0.053,3.9,3.9,5.7,4.2,0.1,1,-0.4,11.6
Nikola Jokic,2023,Off Court,DEN,1230,0.51,25.1,69.9,47.9,61.4,7,13.2,14.6,107.9,0.515,30.1,74.9,52.1,59.9,7.1,10.4,12.7,116.3,-0.005,-5,-5,-4.3,1.5,-0.1,2.8,1.9,-8.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikola Jokic,2022,On Court,DEN,2323,0.61,25.7,78,53,71,8,7.6,13.9,125.6,0.549,22,74.3,47,62.5,8.2,6.9,14.2,113.6,0.061,3.7,3.7,6,8.5,-0.2,0.7,-0.3,12
Nikola Jokic,2022,Off Court,DEN,1583,0.52,23.3,74.3,49,58,7,9.2,16.3,106.8,0.536,25.7,76.7,51,59.6,7.7,8.6,13,116.7,-0.017,-2.4,-2.4,-2,-1.6,-0.7,0.7,3.4,-9.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikola Jokic,2021,On Court,DEN,2476,0.578,22.2,79.2,52.9,68.8,7,6.3,14.9,118.8,0.528,20.8,77.8,47.1,61.6,8.7,8,12.2,110.4,0.05,1.4,1.4,5.7,7.2,-1.7,-1.7,2.7,8.4
Nikola Jokic,2021,Off Court,DEN,1489,0.518,21.5,76.5,47.9,62.6,8,8.3,14.6,108.8,0.554,23.5,78.5,52.1,62.3,7.1,12.5,14.6,116.8,-0.036,-2,-2,-4.3,0.4,1,-4.1,0,-8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikola Jokic,2020,On Court,DEN,2478,0.573,25.1,78.6,52.2,63.5,8.2,8.1,13,121.4,0.559,21.4,74.9,47.8,65.7,7.7,7.5,14,114.8,0.014,3.7,3.7,4.3,-2.1,0.5,0.5,-1,6.6
Nikola Jokic,2020,Off Court,DEN,1021,0.517,23.8,79.8,51.3,57.8,8.4,11.5,15.8,108.1,0.51,20.2,76.2,48.7,61.9,7.5,10,15.4,107.9,0.007,3.7,3.7,2.7,-4.1,1,1.5,0.4,0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Curry,2014,On Court,GSW,2603,0.563,24.4,75.6,50.9,66.4,9.8,9.6,14.2,116.6,0.467,24.4,75.6,49.1,56.6,8.2,6,16.6,99.9,0.096,0,0,1.8,9.7,1.6,3.6,-2.4,16.7
Stephen Curry,2014,Off Court,GSW,1327,0.49,23.4,72.1,48.4,64.7,8.7,8.7,15.6,102.2,0.474,27.9,76.6,51.6,56.5,9,5.8,15.8,103.6,0.016,-4.5,-4.5,-3.2,8.3,-0.3,2.9,-0.2,-1.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Curry,2015,On Court,GSW,2690,0.589,23.5,76.8,52.4,68.1,8.5,9.4,15.2,119,0.468,23.2,76.5,47.6,57.1,8.6,7.9,14.5,101.1,0.121,0.3,0.3,4.7,11,-0.1,1.5,0.7,18
Stephen Curry,2015,Off Court,GSW,1271,0.504,23.4,74.3,48.9,66.7,8.1,8.7,15,105.4,0.503,25.7,76.6,51.1,57,8.7,6.4,14.1,110,0.001,-2.4,-2.4,-2.3,9.7,-0.7,2.3,0.9,-4.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Curry,2016,On Court,GSW,2628,0.586,23.7,75.7,51.4,71.1,10.5,11.2,14.4,121.1,0.491,24.3,76.3,48.6,58.7,8.5,7.3,16.3,103.9,0.094,-0.6,-0.6,2.9,12.4,2.1,3.9,-1.8,17.1
Stephen Curry,2016,Off Court,GSW,1311,0.514,21.5,73.3,48.8,68.9,7.6,10.6,15.6,104.8,0.474,26.7,78.5,51.2,57.9,9,6,13.9,104.8,0.04,-5.2,-5.2,-2.4,11,-1.5,4.5,1.7,-0.1
